x,y,Category,Metric
4,-56.00,Core,Median
4,222.00,Accessory,Median
4,263.00,Unique,Median
5,-23.00,Core,Median
5,156.00,Accessory,Median
5,247.00,Unique,Median
6,-14.00,Core,Median
6,132.00,Accessory,Median
6,235.00,Unique,Median
7,-9.00,Core,Median
7,118.00,Accessory,Median
7,217.00,Unique,Median
8,-7.00,Core,Median
8,110.00,Accessory,Median
8,208.00,Unique,Median
9,-5.00,Core,Median
9,102.00,Accessory,Median
9,195.00,Unique,Median
10,-4.00,Core,Median
10,96.00,Accessory,Median
10,190.00,Unique,Median
11,-4.00,Core,Median
11,93.00,Accessory,Median
11,182.00,Unique,Median
12,-3.00,Core,Median
12,88.00,Accessory,Median
12,179.00,Unique,Median
13,-3.00,Core,Median
13,86.00,Accessory,Median
13,171.00,Unique,Median
14,-2.00,Core,Median
14,83.00,Accessory,Median
14,161.00,Unique,Median
15,-2.00,Core,Median
15,81.00,Accessory,Median
15,160.00,Unique,Median
16,-2.00,Core,Median
16,80.00,Accessory,Median
16,153.00,Unique,Median
17,-2.00,Core,Median
17,76.00,Accessory,Median
17,148.00,Unique,Median
18,-2.00,Core,Median
18,77.00,Accessory,Median
18,146.00,Unique,Median
19,-1.00,Core,Median
19,75.00,Accessory,Median
19,144.00,Unique,Median
20,-2.00,Core,Median
20,72.00,Accessory,Median
20,137.00,Unique,Median
21,-1.00,Core,Median
21,71.00,Accessory,Median
21,136.00,Unique,Median
22,-1.00,Core,Median
22,70.00,Accessory,Median
22,131.00,Unique,Median
23,-1.00,Core,Median
23,68.00,Accessory,Median
23,129.00,Unique,Median
24,-1.00,Core,Median
24,68.00,Accessory,Median
24,126.00,Unique,Median
25,-1.00,Core,Median
25,68.00,Accessory,Median
25,123.00,Unique,Median
26,-1.00,Core,Median
26,66.00,Accessory,Median
26,121.00,Unique,Median
27,-1.00,Core,Median
27,64.00,Accessory,Median
27,119.00,Unique,Median
28,-1.00,Core,Median
28,64.00,Accessory,Median
28,118.00,Unique,Median
29,-1.00,Core,Median
29,63.00,Accessory,Median
29,117.00,Unique,Median
30,-1.00,Core,Median
30,62.00,Accessory,Median
30,119.00,Unique,Median
31,-1.00,Core,Median
31,61.00,Accessory,Median
31,111.00,Unique,Median
32,-1.00,Core,Median
32,60.00,Accessory,Median
32,110.00,Unique,Median
33,-1.00,Core,Median
33,60.00,Accessory,Median
33,114.00,Unique,Median
34,-1.00,Core,Median
34,60.00,Accessory,Median
34,103.00,Unique,Median
35,-1.00,Core,Median
35,58.00,Accessory,Median
35,104.00,Unique,Median
36,-1.00,Core,Median
36,58.00,Accessory,Median
36,100.00,Unique,Median
37,-1.00,Core,Median
37,58.00,Accessory,Median
37,99.00,Unique,Median
38,0.00,Core,Median
38,57.00,Accessory,Median
38,96.00,Unique,Median
39,-1.00,Core,Median
39,56.00,Accessory,Median
39,99.00,Unique,Median
40,-1.00,Core,Median
40,56.00,Accessory,Median
40,97.00,Unique,Median
41,-1.00,Core,Median
41,55.00,Accessory,Median
41,91.00,Unique,Median
42,-1.00,Core,Median
42,54.00,Accessory,Median
42,98.00,Unique,Median
43,0.00,Core,Median
43,55.00,Accessory,Median
43,88.00,Unique,Median
44,-1.00,Core,Median
44,54.00,Accessory,Median
44,96.00,Unique,Median
45,0.00,Core,Median
45,54.00,Accessory,Median
45,89.00,Unique,Median
46,0.00,Core,Median
46,55.00,Accessory,Median
46,90.00,Unique,Median
47,0.00,Core,Median
47,53.00,Accessory,Median
47,85.00,Unique,Median
48,0.00,Core,Median
48,52.00,Accessory,Median
48,76.00,Unique,Median
49,0.00,Core,Median
49,52.00,Accessory,Median
49,85.00,Unique,Median
50,0.00,Core,Median
50,52.00,Accessory,Median
50,83.00,Unique,Median
51,0.00,Core,Median
51,52.00,Accessory,Median
51,79.00,Unique,Median
52,0.00,Core,Median
52,52.00,Accessory,Median
52,74.00,Unique,Median
53,0.00,Core,Median
53,51.00,Accessory,Median
53,83.00,Unique,Median
54,0.00,Core,Median
54,51.00,Accessory,Median
54,72.00,Unique,Median
55,0.00,Core,Median
55,50.00,Accessory,Median
55,78.00,Unique,Median
56,0.00,Core,Median
56,51.00,Accessory,Median
56,77.00,Unique,Median
57,0.00,Core,Median
57,50.00,Accessory,Median
57,70.00,Unique,Median
58,0.00,Core,Median
58,48.00,Accessory,Median
58,67.00,Unique,Median
59,0.00,Core,Median
59,50.00,Accessory,Median
59,66.00,Unique,Median
60,0.00,Core,Median
60,49.00,Accessory,Median
60,64.00,Unique,Median
61,0.00,Core,Median
61,49.00,Accessory,Median
61,68.00,Unique,Median
62,0.00,Core,Median
62,48.00,Accessory,Median
62,71.00,Unique,Median
63,0.00,Core,Median
63,47.00,Accessory,Median
63,64.00,Unique,Median
64,0.00,Core,Median
64,45.00,Accessory,Median
64,58.00,Unique,Median
65,0.00,Core,Median
65,48.00,Accessory,Median
65,62.00,Unique,Median
66,0.00,Core,Median
66,47.00,Accessory,Median
66,65.00,Unique,Median
67,0.00,Core,Median
67,47.00,Accessory,Median
67,64.00,Unique,Median
68,0.00,Core,Median
68,47.00,Accessory,Median
68,56.00,Unique,Median
69,0.00,Core,Median
69,46.00,Accessory,Median
69,64.00,Unique,Median
70,0.00,Core,Median
70,48.00,Accessory,Median
70,62.00,Unique,Median
71,0.00,Core,Median
71,45.00,Accessory,Median
71,57.00,Unique,Median
72,0.00,Core,Median
72,46.00,Accessory,Median
72,68.00,Unique,Median
73,0.00,Core,Median
73,47.00,Accessory,Median
73,57.00,Unique,Median
74,0.00,Core,Median
74,45.00,Accessory,Median
74,58.00,Unique,Median
75,0.00,Core,Median
75,45.00,Accessory,Median
75,62.00,Unique,Median
76,0.00,Core,Median
76,45.00,Accessory,Median
76,62.00,Unique,Median
77,0.00,Core,Median
77,44.00,Accessory,Median
77,59.00,Unique,Median
78,0.00,Core,Median
78,44.00,Accessory,Median
78,57.00,Unique,Median
79,0.00,Core,Median
79,45.00,Accessory,Median
79,55.00,Unique,Median
80,0.00,Core,Median
80,45.00,Accessory,Median
80,54.00,Unique,Median
81,0.00,Core,Median
81,44.00,Accessory,Median
81,54.00,Unique,Median
82,0.00,Core,Median
82,44.00,Accessory,Median
82,54.00,Unique,Median
83,0.00,Core,Median
83,46.00,Accessory,Median
83,50.00,Unique,Median
84,0.00,Core,Median
84,45.00,Accessory,Median
84,53.00,Unique,Median
85,0.00,Core,Median
85,44.00,Accessory,Median
85,46.00,Unique,Median
86,0.00,Core,Median
86,44.00,Accessory,Median
86,44.00,Unique,Median
87,0.00,Core,Median
87,42.00,Accessory,Median
87,48.00,Unique,Median
88,0.00,Core,Median
88,44.00,Accessory,Median
88,55.00,Unique,Median
89,0.00,Core,Median
89,43.00,Accessory,Median
89,39.00,Unique,Median
90,0.00,Core,Median
90,44.00,Accessory,Median
90,46.00,Unique,Median
91,0.00,Core,Median
91,43.00,Accessory,Median
91,41.00,Unique,Median
92,0.00,Core,Median
92,42.00,Accessory,Median
92,45.00,Unique,Median
93,0.00,Core,Median
93,43.00,Accessory,Median
93,42.00,Unique,Median
94,0.00,Core,Median
94,42.00,Accessory,Median
94,50.00,Unique,Median
95,0.00,Core,Median
95,43.00,Accessory,Median
95,47.00,Unique,Median
96,0.00,Core,Median
96,43.00,Accessory,Median
96,39.00,Unique,Median
97,0.00,Core,Median
97,41.00,Accessory,Median
97,35.00,Unique,Median
98,0.00,Core,Median
98,41.00,Accessory,Median
98,32.00,Unique,Median
99,0.00,Core,Median
99,41.00,Accessory,Median
99,34.00,Unique,Median
100,0.00,Core,Median
100,43.00,Accessory,Median
100,45.00,Unique,Median
101,0.00,Core,Median
101,41.00,Accessory,Median
101,32.00,Unique,Median
102,0.00,Core,Median
102,42.00,Accessory,Median
102,34.00,Unique,Median
103,0.00,Core,Median
103,41.00,Accessory,Median
103,38.00,Unique,Median
104,0.00,Core,Median
104,41.00,Accessory,Median
104,33.00,Unique,Median
105,0.00,Core,Median
105,41.00,Accessory,Median
105,30.00,Unique,Median
106,0.00,Core,Median
106,40.00,Accessory,Median
106,34.00,Unique,Median
107,0.00,Core,Median
107,40.00,Accessory,Median
107,26.00,Unique,Median
108,0.00,Core,Median
108,40.00,Accessory,Median
108,25.00,Unique,Median
109,0.00,Core,Median
109,41.00,Accessory,Median
109,28.00,Unique,Median
110,0.00,Core,Median
110,41.00,Accessory,Median
110,26.00,Unique,Median
111,0.00,Core,Median
111,40.00,Accessory,Median
111,32.00,Unique,Median
112,0.00,Core,Median
112,41.00,Accessory,Median
112,32.00,Unique,Median
113,0.00,Core,Median
113,39.00,Accessory,Median
113,27.00,Unique,Median
114,0.00,Core,Median
114,41.00,Accessory,Median
114,27.00,Unique,Median
115,0.00,Core,Median
115,40.00,Accessory,Median
115,19.00,Unique,Median
116,0.00,Core,Median
116,40.00,Accessory,Median
116,29.00,Unique,Median
117,0.00,Core,Median
117,39.00,Accessory,Median
117,13.00,Unique,Median
118,0.00,Core,Median
118,38.00,Accessory,Median
118,20.00,Unique,Median
119,0.00,Core,Median
119,40.00,Accessory,Median
119,28.00,Unique,Median
120,0.00,Core,Median
120,39.00,Accessory,Median
120,28.00,Unique,Median
121,0.00,Core,Median
121,38.00,Accessory,Median
121,11.00,Unique,Median
122,0.00,Core,Median
122,38.00,Accessory,Median
122,19.00,Unique,Median
123,0.00,Core,Median
123,38.00,Accessory,Median
123,20.00,Unique,Median
124,0.00,Core,Median
124,38.00,Accessory,Median
124,30.00,Unique,Median
125,0.00,Core,Median
125,39.00,Accessory,Median
125,8.00,Unique,Median
126,0.00,Core,Median
126,39.00,Accessory,Median
126,29.00,Unique,Median
127,0.00,Core,Median
127,37.00,Accessory,Median
127,10.00,Unique,Median
128,0.00,Core,Median
128,37.00,Accessory,Median
128,10.00,Unique,Median
129,0.00,Core,Median
129,38.00,Accessory,Median
129,10.00,Unique,Median
130,0.00,Core,Median
130,38.00,Accessory,Median
130,32.00,Unique,Median
131,0.00,Core,Median
131,36.00,Accessory,Median
131,6.00,Unique,Median
132,0.00,Core,Median
132,37.00,Accessory,Median
132,8.00,Unique,Median
133,0.00,Core,Median
133,37.00,Accessory,Median
133,17.00,Unique,Median
134,0.00,Core,Median
134,36.00,Accessory,Median
134,16.00,Unique,Median
135,0.00,Core,Median
135,38.00,Accessory,Median
135,16.00,Unique,Median
136,0.00,Core,Median
136,37.00,Accessory,Median
136,8.00,Unique,Median
137,0.00,Core,Median
137,38.00,Accessory,Median
137,8.00,Unique,Median
138,0.00,Core,Median
138,38.00,Accessory,Median
138,11.00,Unique,Median
139,0.00,Core,Median
139,37.00,Accessory,Median
139,11.00,Unique,Median
140,0.00,Core,Median
140,36.00,Accessory,Median
140,8.00,Unique,Median
141,0.00,Core,Median
141,37.00,Accessory,Median
141,24.00,Unique,Median
142,0.00,Core,Median
142,36.00,Accessory,Median
142,10.00,Unique,Median
143,0.00,Core,Median
143,36.00,Accessory,Median
143,4.00,Unique,Median
144,0.00,Core,Median
144,36.00,Accessory,Median
144,6.00,Unique,Median
145,0.00,Core,Median
145,36.00,Accessory,Median
145,4.00,Unique,Median
146,0.00,Core,Median
146,36.00,Accessory,Median
146,14.00,Unique,Median
147,0.00,Core,Median
147,35.00,Accessory,Median
147,5.00,Unique,Median
148,0.00,Core,Median
148,36.00,Accessory,Median
148,20.00,Unique,Median
149,0.00,Core,Median
149,35.00,Accessory,Median
149,19.00,Unique,Median
150,0.00,Core,Median
150,34.00,Accessory,Median
150,6.00,Unique,Median
151,0.00,Core,Median
151,35.00,Accessory,Median
151,9.00,Unique,Median
152,0.00,Core,Median
152,36.00,Accessory,Median
152,6.00,Unique,Median
153,0.00,Core,Median
153,35.00,Accessory,Median
153,4.00,Unique,Median
154,0.00,Core,Median
154,36.00,Accessory,Median
154,5.00,Unique,Median
155,0.00,Core,Median
155,34.00,Accessory,Median
155,7.00,Unique,Median
156,0.00,Core,Median
156,34.00,Accessory,Median
156,6.00,Unique,Median
157,0.00,Core,Median
157,34.00,Accessory,Median
157,7.00,Unique,Median
158,0.00,Core,Median
158,34.00,Accessory,Median
158,5.00,Unique,Median
159,0.00,Core,Median
159,34.00,Accessory,Median
159,6.00,Unique,Median
160,0.00,Core,Median
160,34.00,Accessory,Median
160,4.00,Unique,Median
161,0.00,Core,Median
161,36.00,Accessory,Median
161,8.00,Unique,Median
162,0.00,Core,Median
162,34.00,Accessory,Median
162,6.00,Unique,Median
163,0.00,Core,Median
163,35.00,Accessory,Median
163,4.00,Unique,Median
164,0.00,Core,Median
164,34.00,Accessory,Median
164,5.00,Unique,Median
165,0.00,Core,Median
165,32.00,Accessory,Median
165,4.00,Unique,Median
166,0.00,Core,Median
166,34.00,Accessory,Median
166,4.00,Unique,Median
167,0.00,Core,Median
167,34.00,Accessory,Median
167,5.00,Unique,Median
168,0.00,Core,Median
168,32.00,Accessory,Median
168,3.00,Unique,Median
169,0.00,Core,Median
169,33.00,Accessory,Median
169,8.00,Unique,Median
170,0.00,Core,Median
170,33.00,Accessory,Median
170,3.00,Unique,Median
171,0.00,Core,Median
171,31.00,Accessory,Median
171,3.00,Unique,Median
172,0.00,Core,Median
172,32.00,Accessory,Median
172,8.00,Unique,Median
173,0.00,Core,Median
173,34.00,Accessory,Median
173,5.00,Unique,Median
174,0.00,Core,Median
174,33.00,Accessory,Median
174,6.00,Unique,Median
175,0.00,Core,Median
175,32.00,Accessory,Median
175,2.00,Unique,Median
176,0.00,Core,Median
176,33.00,Accessory,Median
176,3.00,Unique,Median
177,0.00,Core,Median
177,33.00,Accessory,Median
177,3.00,Unique,Median
178,0.00,Core,Median
178,32.00,Accessory,Median
178,5.00,Unique,Median
179,0.00,Core,Median
179,33.00,Accessory,Median
179,3.00,Unique,Median
180,0.00,Core,Median
180,31.00,Accessory,Median
180,3.00,Unique,Median
181,0.00,Core,Median
181,32.00,Accessory,Median
181,3.00,Unique,Median
182,0.00,Core,Median
182,32.00,Accessory,Median
182,5.00,Unique,Median
183,0.00,Core,Median
183,30.00,Accessory,Median
183,3.00,Unique,Median
184,0.00,Core,Median
184,31.00,Accessory,Median
184,3.00,Unique,Median
185,0.00,Core,Median
185,32.00,Accessory,Median
185,2.00,Unique,Median
186,0.00,Core,Median
186,32.00,Accessory,Median
186,3.00,Unique,Median
187,0.00,Core,Median
187,31.00,Accessory,Median
187,3.00,Unique,Median
188,0.00,Core,Median
188,31.00,Accessory,Median
188,2.00,Unique,Median
189,0.00,Core,Median
189,32.00,Accessory,Median
189,6.00,Unique,Median
190,0.00,Core,Median
190,32.00,Accessory,Median
190,5.00,Unique,Median
191,0.00,Core,Median
191,30.00,Accessory,Median
191,3.00,Unique,Median
192,0.00,Core,Median
192,30.00,Accessory,Median
192,2.00,Unique,Median
193,0.00,Core,Median
193,32.00,Accessory,Median
193,4.00,Unique,Median
194,0.00,Core,Median
194,31.00,Accessory,Median
194,4.00,Unique,Median
195,0.00,Core,Median
195,31.00,Accessory,Median
195,5.00,Unique,Median
196,0.00,Core,Median
196,31.00,Accessory,Median
196,2.00,Unique,Median
197,0.00,Core,Median
197,32.00,Accessory,Median
197,3.00,Unique,Median
198,0.00,Core,Median
198,30.00,Accessory,Median
198,3.00,Unique,Median
199,0.00,Core,Median
199,30.00,Accessory,Median
199,3.00,Unique,Median
200,0.00,Core,Median
200,31.00,Accessory,Median
200,2.00,Unique,Median
201,0.00,Core,Median
201,30.00,Accessory,Median
201,2.00,Unique,Median
202,0.00,Core,Median
202,30.00,Accessory,Median
202,2.00,Unique,Median
203,0.00,Core,Median
203,30.00,Accessory,Median
203,3.00,Unique,Median
204,0.00,Core,Median
204,29.00,Accessory,Median
204,3.00,Unique,Median
205,0.00,Core,Median
205,29.00,Accessory,Median
205,2.00,Unique,Median
206,0.00,Core,Median
206,31.00,Accessory,Median
206,3.00,Unique,Median
207,0.00,Core,Median
207,30.00,Accessory,Median
207,3.00,Unique,Median
208,0.00,Core,Median
208,29.00,Accessory,Median
208,2.00,Unique,Median
209,0.00,Core,Median
209,30.00,Accessory,Median
209,3.00,Unique,Median
210,0.00,Core,Median
210,30.00,Accessory,Median
210,2.00,Unique,Median
211,0.00,Core,Median
211,30.00,Accessory,Median
211,2.00,Unique,Median
212,0.00,Core,Median
212,29.00,Accessory,Median
212,3.00,Unique,Median
213,0.00,Core,Median
213,31.00,Accessory,Median
213,2.00,Unique,Median
214,0.00,Core,Median
214,27.00,Accessory,Median
214,2.00,Unique,Median
215,0.00,Core,Median
215,29.00,Accessory,Median
215,2.00,Unique,Median
216,0.00,Core,Median
216,28.00,Accessory,Median
216,1.00,Unique,Median
217,0.00,Core,Median
217,29.00,Accessory,Median
217,2.00,Unique,Median
218,0.00,Core,Median
218,29.00,Accessory,Median
218,3.00,Unique,Median
219,0.00,Core,Median
219,27.00,Accessory,Median
219,1.00,Unique,Median
220,0.00,Core,Median
220,29.00,Accessory,Median
220,2.00,Unique,Median
221,0.00,Core,Median
221,29.00,Accessory,Median
221,3.00,Unique,Median
222,0.00,Core,Median
222,27.00,Accessory,Median
222,2.00,Unique,Median
223,0.00,Core,Median
223,28.00,Accessory,Median
223,1.00,Unique,Median
224,0.00,Core,Median
224,28.00,Accessory,Median
224,2.00,Unique,Median
225,0.00,Core,Median
225,28.00,Accessory,Median
225,2.00,Unique,Median
226,0.00,Core,Median
226,28.00,Accessory,Median
226,2.00,Unique,Median
227,0.00,Core,Median
227,27.00,Accessory,Median
227,2.00,Unique,Median
228,0.00,Core,Median
228,29.00,Accessory,Median
228,2.00,Unique,Median
229,0.00,Core,Median
229,29.00,Accessory,Median
229,1.00,Unique,Median
230,0.00,Core,Median
230,29.00,Accessory,Median
230,2.00,Unique,Median
231,0.00,Core,Median
231,28.00,Accessory,Median
231,2.00,Unique,Median
232,0.00,Core,Median
232,28.00,Accessory,Median
232,2.00,Unique,Median
233,0.00,Core,Median
233,27.00,Accessory,Median
233,2.00,Unique,Median
234,0.00,Core,Median
234,26.00,Accessory,Median
234,3.00,Unique,Median
235,0.00,Core,Median
235,29.00,Accessory,Median
235,2.00,Unique,Median
